Video ID,Title,Comment ID,Comment
tuPkeP35Ahc,"leonardo ai beauty miss ai beauty pageant artificial intelligence beautylookbook, ai art model,",Ugy3sicB3GRA_3MCww54AaABAg,hi
1FkZiSTLhfs,4K STUNNING INDIAN MODEL LOOKBOOK AI ART SHOWCASE CONVERSATIONAL AI amp VERTEX AI,UgzaxnXJuevF0WEslMl4AaABAg,This creation is truly amazing! Your talent and creativity shine through. Keep creating and inspiring us!
anAiRrra1lk,Don39t fall for this AI Art Book SCAM!!!,Ugz4wSp1wX4CjiHbxqZ4AaABAg,"I always hated AI!, especially in my nightmares when I was in a Minecraft world where there are no faces"
anAiRrra1lk,Don39t fall for this AI Art Book SCAM!!!,UgxlQuhqKNzelDqP4_h4AaABAg,ai art is 100000 times better no one wants boring drawings them days are over
anAiRrra1lk,Don39t fall for this AI Art Book SCAM!!!,UgxOlgZldCI1_5yKtlF4AaABAg,you wouldn39t download a physical book
anAiRrra1lk,Don39t fall for this AI Art Book SCAM!!!,UgzfISXiLwalywPZw_R4AaABAg,and now you defend and use AI....
anAiRrra1lk,Don39t fall for this AI Art Book SCAM!!!,UgzMT_0SATnPSvNT5sF4AaABAg,This guy looks familiar
FlxQvEbHCo4,A.I Art has RUINED My Life!,UgyGOZiDRkjsF94OFcZ4AaABAg,"I like A.I, but your hand painted picture is much better. I think A.I can help artists as a tool"
FlxQvEbHCo4,A.I Art has RUINED My Life!,UgwoEvr6A4kFwAAWl1J4AaABAg,"Your motifs, perception and technic is just generic bro"
FlxQvEbHCo4,A.I Art has RUINED My Life!,UgzyTtL2vsMPRO_bWlV4AaABAg,"AI is undeniably fascinating in the digital realm, but there39s something unmatched about a humble artist painting. When you can see and feel their work, it creates an experience that technology simply can39t replicate. Please do not stop what you do"
FlxQvEbHCo4,A.I Art has RUINED My Life!,UgyDQGeNR4kLTJ_geet4AaABAg,A.I Art is just stolen artwork of others and made into an amalgamation.
FlxQvEbHCo4,A.I Art has RUINED My Life!,UgwQZKUNef2eibsqAQ14AaABAg,"AI is growing at a scarily rapid rate. AI in 10 years will be indistinguishable from AI today. It39s literally only going to get better and better. It39s a new technology. Look what early video games looked like and how much better they look now. With AI getting better even faster than that with a hypothetically limitless ceiling to grow, challenges like this will eventually end up like trying to challenge a calculator in mathematics."
pBy5bikA-l0,Gorilla love AI video ai aiart gorillatag gorilla love wedding pregnancy fannyvideo fantasy,UgxGohMak0Zl5_3fmiZ4AaABAg,"Imagine what you can do with AI...Loved it, How did you create it? Which tool did you use?"
pBy5bikA-l0,Gorilla love AI video ai aiart gorillatag gorilla love wedding pregnancy fannyvideo fantasy,UgwOUKRUMSLYnnG2add4AaABAg,Schön!
7O5fzSO23Hk,This AI Artist is Getting Destroyed by the Internet! artist animation noai humanartist,Ugxdqo9154oJKx0sVnF4AaABAg,OWL HOUSE EEEEEE
7O5fzSO23Hk,This AI Artist is Getting Destroyed by the Internet! artist animation noai humanartist,UgxJWgMIigyVDv9ThCJ4AaABAg,"To be honest, AI quotartistsquot aren39t even artists, they39re generic prompt writers.To all AI quotartistsquot STOP CALLING YOURSELVES ARTISTS."
7O5fzSO23Hk,This AI Artist is Getting Destroyed by the Internet! artist animation noai humanartist,UgzPj_JXaEZPefb4W094AaABAg,210 NIGHTMARE! NIGHTMARE! NIGHTMARE!
7O5fzSO23Hk,This AI Artist is Getting Destroyed by the Internet! artist animation noai humanartist,Ugzoq6gwYDRvBa6zSKx4AaABAg,I39m fine with Ai stuff but selling it is too far like they don39t make the actual pic.
7O5fzSO23Hk,This AI Artist is Getting Destroyed by the Internet! artist animation noai humanartist,UgxBVGNTylXwgNyBr2B4AaABAg,I am going to not be rude...
ZJQzp7KmtNQ,AI ART LOOKBOOK,UgzEvrDIM9Lklun4FK14AaABAg,keremet. ädemi. sulw. kz.
RMvsjO5wgv8,Artist vs Ai art digitalart painting,UgzOk6JFuNcQthyabUN4AaABAg,Urs
RMvsjO5wgv8,Artist vs Ai art digitalart painting,Ugw_AM4ofheknXKU00B4AaABAg,She looks so realistic but also so alive
RMvsjO5wgv8,Artist vs Ai art digitalart painting,UgwRoL240limJ300JAp4AaABAg,The pink hair ALSO shows her lesbianess
RMvsjO5wgv8,Artist vs Ai art digitalart painting,UgzyN-E848ZF2shoA1R4AaABAg,The ai version looks creepy asf tbh
RMvsjO5wgv8,Artist vs Ai art digitalart painting,UgzkCbGTfQ5U9PaOfY94AaABAg,yours ofc
wC8iQuMudNM,This AI is destroying the art community art AI soraai,Ugxxr8StMZNyV-JCsbN4AaABAg,"Are artists and authors owed successincome from the rest of the world for their chosen line of work? If so, then why?"
wC8iQuMudNM,This AI is destroying the art community art AI soraai,Ugz_FEaojL25hLHv1hh4AaABAg,i dont get it
wC8iQuMudNM,This AI is destroying the art community art AI soraai,UgxhK2mWSSTM4QKps1N4AaABAg,I39m trying to get an animation job when I graduate and i agree that this is scary and dangerous for the art community
wC8iQuMudNM,This AI is destroying the art community art AI soraai,UgxPlTntsOjwT0g2Qrx4AaABAg,"Welp, ima still enjoy making art"
wC8iQuMudNM,This AI is destroying the art community art AI soraai,UgyvWf-b2ZOiSh2f-_p4AaABAg,"When I do my art timelapse, I make sure I include the part where the viewer can see that I39m on ibis paint and it39s a real portrait"
